,id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13000,1485521525568629148,Eixample | Barcelona | A/C | Wifi | TV,299462.0,1.4625110383608072e+18,Stay Unique,Eixample,Sant Antoni,41.3826658,2.1604442,Entire home/apt,308.0,1.0,20,2026-06-18,2.05,140.0,349,20,Spain - National registration number<br />ESFCTU00000805600307306200000000000000000HUTB-0130952<br /><br />Barcelona - Regional registration number<br />HUTB-013095
13200,1512860236368201436,AB Paral·lel Apartment  I,4459553.0,1.4625356972083244e+18,AB Apartment Barcelona,Sants-Montjuïc,el Poble Sec,41.37379,2.16841,Entire home/apt,302.0,1.0,14,2026-05-04,1.58,243.0,291,14,Barcelona - Regional registration number<br />HUTB-009308<br /><br />Spain - National registration number<br />ESHFTU00000806900014173300200000000000HUTB-009308-624
13400,1542663668375497171,Apartamento cèntrico para 2 en Poble-Sec. Ramblas,346878098.0,1.5426636691204744e+18,Leonardo,Sants-Montjuïc,el Poble Sec,41.3741867,2.1673015,Entire home/apt,197.0,2.0,11,2026-06-21,4.58,2.0,87,11,Spain - National registration number<br />ESFCTU0000080690002119550000000000000000HUTB004479283<br /><br />Barcelona - Regional registration number<br />HUTB-447928
13600,1569517982471913357,Boreas - 1 bedroom and balcony in Eixample Dreta,346367515.0,1.4634960731408402e+18,Ukio,Eixample,la Dreta de l'Eixample,41.38605,2.16544,Entire home/apt,93.0,31.0,0,,,588.0,293,0,Spain - National registration number<br />ESFCNT0AC30805600036551100000000000000000000000000004<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental
13800,1599990789324564328,Penthouse with private terrace,461185745.0,1.4700771805499656e+18,Borges,Eixample,Sant Antoni,41.37917,2.1605,Entire home/apt,342.0,1.0,17,2026-05-31,3.83,7.0,326,17,Spain - National registration number<br />ESFCTU00000806900003332800000000000000000HUTB-0033910<br /><br />Barcelona - Regional registration number<br />HUTB-003391
14000,1623845411602757124,Triple room,746884580.0,,,Sarrià-Sant Gervasi,les Tres Torres,41.39991,2.13004,Private room,176.0,1.0,26,2026-06-21,0.46,2.0,340,10,
14200,1639370628846095784,Habitacion con su balcon privado en la Rambla,750906982.0,1.6393706295366743e+18,Giorgi,Ciutat Vella,el Raval,41.38147,2.17034,Private room,97.0,1.0,19,2026-06-12,6.63,1.0,284,19,Barcelona - Regional registration number<br />HUTB-000727<br /><br />Spain - National registration number<br />ESHFNT00000765654543432600400000000000000000000000002
14400,1657822518300262479,Habitación tranquila con balcon,686644233.0,1.4707137755706683e+18,Marc,Ciutat Vella,la Barceloneta,41.37892,2.18926,Private room,86.0,1.0,3,2026-06-23,3.0,2.0,65,3,Spain - National registration number<br />Exempt - tourist apartment<br /><br />Barcelona - Regional registration number<br />HUTB-970632
14600,1677477937703824479,Eixample town - 365 barcelona rentals,14544418.0,1.4629411392453002e+18,Iñigo Barcelona,Eixample,la Nova Esquerra de l'Eixample,41.3836435,2.1540232,Entire home/apt,175.0,1.0,4,2026-06-08,2.4,5.0,329,4,Spain - National registration number<br />ESFCNT00000806700053324400000000000000000000000000001<br /><br />Barcelona - Regional registration number<br />HUTB-004722
14800,1689843502743720327,Charming room near the beach and the center,504431152.0,1.4702677258272945e+18,Victor,Sants-Montjuïc,el Poble Sec,41.374842085186344,2.16429644152397,Private room,103.0,2.0,2,2026-06-11,2.0,2.0,28,2,Spain - National registration number<br />ESFCTU00000805200050572800000000000000HUTB-075596-205<br /><br />Barcelona - Regional registration number<br />HUTB-075596
15000,1698509847890521632,Cómoda habitación en la zona de montjuic con aire,31538271.0,1.4626553895725094e+18,Hola Barcelona,Sants-Montjuïc,la Font de la Guatlla,41.370322238220645,2.146027726685326,Private room,160.0,1.0,0,,,22.0,357,0,Spain - National registration number<br />ESFCTU00000890500003497300000000000000000000000000082<br /><br />Barcelona - Regional registration number<br />HUTB-061056
15200,1708774165763933382,Cozy 3BR Apartment: Great Location in L'Eixample,1447144.0,1.4625181335206285e+18,Acomodis Apartments,Eixample,la Nova Esquerra de l'Eixample,41.3796669,2.1479803,Entire home/apt,451.0,1.0,0,,,448.0,198,0,Barcelona - Regional registration number<br />HUTB-007256
15400,1714436799055988275,Tranquila habitación con balcón y a/a.,159231006.0,1.4630052489333658e+18,Natalia,Eixample,el Fort Pienc,41.39954,2.17951,Private room,28.0,31.0,0,,,5.0,143,0,Barcelona - Regional registration number<br />Exempt - seasonal rental
