,id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8204,887395817973157589,Penthouse with Private Terrace,71615.0,1.462508358342835e+18,Maria Y Mireia Barcelona4Seasons,Horta-Guinardó,el Guinardó,41.415596223,2.178491102,Entire home/apt,179.0,2.0,98,2026-05-23,2.72,20.0,116,26,Spain - National registration number<br />ESFCTU0000080580005415060000000000000000HUTB007010274<br /><br />Barcelona - Regional registration number<br />HUTB-007010
8504,925319046707863327,Apartamento al lado de la playa,71615.0,1.462508358342835e+18,Maria Y Mireia Barcelona4Seasons,Ciutat Vella,la Barceloneta,41.38158818031756,2.186889195059507,Entire home/apt,56.0,32.0,4,2025-11-01,0.15,20.0,332,2,Spain - National registration number<br />ESFCNT00000811900005928300000000000000000000000000005<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental
8542,932569596868861320,3 suite apartment near Ramblas,73163.0,1.4625084472041472e+18,Andres,Ciutat Vella,el Barri Gòtic,41.38086,2.1748,Entire home/apt,224.0,31.0,0,,,2.0,170,0,
8600,938985742501827154,Estudi lluminós i ben comunicat,18135683.0,1.463037031880568e+18,Ester,Horta-Guinardó,el Baix Guinardó,41.41022,2.16609,Entire home/apt,96.0,31.0,0,,,2.0,87,0,
9054,1013882465790024892,Room with Balcony in Central Barcelona,176514024.0,1.4687104706551327e+18,Andres,Eixample,l'Antiga Esquerra de l'Eixample,41.38736896045911,2.1557891945713044,Private room,123.0,1.0,19,2026-06-09,4.83,2.0,170,19,
9055,1013883984435259564,Private Interior Room in Central BCN,176514024.0,1.4687104706551327e+18,Andres,Eixample,l'Antiga Esquerra de l'Eixample,41.3870779183616,2.154044162391881,Private room,81.0,1.0,26,2026-06-08,6.9,2.0,166,26,
10345,1175955069246165077,Comfortable apartment next to Sagrada Familia,71615.0,1.462508358342835e+18,Maria Y Mireia Barcelona4Seasons,Eixample,la Sagrada Família,41.40554,2.17172,Entire home/apt,224.0,2.0,42,2026-02-20,1.72,20.0,156,12,Spain - National registration number<br />ESFCTU00000805800063599100000000000000000HUTB-0083214<br /><br />Barcelona - Regional registration number<br />HUTB-008321
10709,1229525461082470897,"La mejoresvistasde Barcelona, terraza 90 m privada",49635010.0,1.4627136599203023e+18,Joaquin,Ciutat Vella,la Barceloneta,41.37786,2.19053,Entire home/apt,413.0,31.0,0,,,1.0,49,0,Spain - National registration number<br />ESFCNT00000811900002505900000000000000000000000000009<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental
11018,1284590816663751175,Cómodo apartamento cerca metro,71615.0,1.462508358342835e+18,Maria Y Mireia Barcelona4Seasons,Sants-Montjuïc,Sants - Badal,41.37209211763589,2.13113438801012,Entire home/apt,56.0,32.0,0,,,20.0,177,0,Spain - National registration number<br />ESFCNT00000806500017695900000000000000000000000000005<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental
11564,1353550843022453659,"Single room, private bathroom",677542508.0,1.470695336624544e+18,Ester,Eixample,el Fort Pienc,41.39700601749378,2.1780686153837134,Private room,37.0,31.0,1,2025-07-18,0.09,5.0,297,1,Spain - National registration number<br />ESHFNT00000805400056977900200000000000000000000000006<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental
11569,1354179659690182026,"Habitación, aire acondicionado",677542508.0,1.470695336624544e+18,Ester,Eixample,la Dreta de l'Eixample,41.39691177804507,2.1770987894501332,Private room,36.0,31.0,8,2026-05-31,0.58,5.0,299,6,Spain - National registration number<br />ESHFNT00000805400056977900400000000000000000000000004<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental
11576,1355608539769151419,"Room, private fridge + A/C",677542508.0,1.470695336624544e+18,Ester,Eixample,el Fort Pienc,41.39696246817077,2.177635046614377,Private room,30.0,31.0,4,2025-09-17,0.29,5.0,317,2,Spain - National registration number<br />ESHFNT00000805400056977900100000000000000000000000007<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental
13382,1539038626939475945,Acogedor Studio Sants a 15' Bcn Centro y Fira Bcn,725607185.0,1.5390386275851305e+18,Ester,Sants-Montjuïc,Sants,41.37453,2.13303,Entire home/apt,292.0,3.0,2,2026-02-07,0.3,1.0,85,2,Barcelona - Regional registration number<br />HUTB-001702<br /><br />Spain - National registration number<br />ESFCTU00000806500065020600000000000000000000002350521
13683,1581374715746154776,"Habitación, baño privado, aire acondicionado",677542508.0,1.470695336624544e+18,Ester,Eixample,el Fort Pienc,41.39598549999999,2.1774327,Private room,45.0,31.0,0,,,5.0,213,0,Barcelona - Regional registration number<br />Exempt - seasonal rental<br /><br />Spain - National registration number<br />ESHFNT00000805400056977900300000000000000000000000005
13684,1581388718734887536,"Tranquila habitación, aire acondicionado",677542508.0,1.470695336624544e+18,Ester,Eixample,el Fort Pienc,41.39598549999999,2.1774327,Private room,28.0,31.0,2,2026-05-21,0.69,5.0,158,2,Barcelona - Regional registration number<br />Exempt - seasonal rental<br /><br />Spain - National registration number<br />ESHFNT00000805400056977900500000000000000000000000003
14479,1665062821024992480,"Apartment, close to an entrance of Park Güell",71615.0,1.462508358342835e+18,Maria Y Mireia Barcelona4Seasons,Gràcia,el Coll,41.41931,2.14999,Entire home/apt,126.0,32.0,0,,,20.0,206,0,Spain - National registration number<br />ESFCNT00000804800039413400000000000000000000000000003<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental
